Date,Ascendant (As)_Degree,Ascendant (As)_NL,Jupiter (Ju)_Degree,Jupiter (Ju)_NL,Ketu (Ke)_Degree,Ketu (Ke)_NL,Mars (Ma)_Degree,Mars (Ma)_NL,Mercury (Me)_Degree,Mercury (Me)_NL,Moon (Mo)_Degree,Moon (Mo)_NL,Neptune (Ne)_Degree,Neptune (Ne)_NL,Rahu (Ra)_Degree,Rahu (Ra)_NL,Saturn (Sa)_Degree,Saturn (Sa)_NL,Sun (Su)_Degree,Sun (Su)_NL,True Ketu_Degree,True Ketu_NL,True Rahu_Degree,True Rahu_NL,Uranus (Ur)_Degree,Uranus (Ur)_NL,Venus (Ve)_Degree,Venus (Ve)_NL
1/5/2000,107.88,Mercury,22.37,Venus,274.78,Sun,34.35,Sun,8.35,Ketu,339.26,Saturn,282.69,Moon,94.78,Saturn,25.34,Venus,17.32,Venus,274.15,Sun,94.15,Saturn,296.72,Mars,6.32,Ketu
2/5/2000,108.72,Mercury,22.6,Venus,274.72,Sun,35.05,Sun,10.38,Ketu,352.97,Mercury,282.69,Moon,94.72,Saturn,25.47,Venus,18.29,Venus,273.99,Sun,93.99,Saturn,296.74,Mars,7.55,Ketu
3/5/2000,109.55,Mercury,22.84,Venus,274.67,Sun,35.76,Sun,12.44,Ketu,7.08,Ketu,282.7,Moon,94.67,Saturn,25.6,Venus,19.26,Venus,273.81,Sun,93.81,Saturn,296.76,Mars,8.78,Ketu
4/5/2000,110.39,Mercury,23.08,Venus,274.62,Sun,36.46,Sun,14.52,Venus,21.53,Venus,282.7,Moon,94.62,Saturn,25.73,Venus,20.23,Venus,273.62,Sun,93.62,Saturn,296.77,Mars,10.01,Ketu
5/5/2000,111.24,Mercury,23.32,Venus,274.56,Sun,37.16,Sun,16.62,Venus,36.2,Sun,282.7,Moon,94.56,Saturn,25.86,Venus,21.2,Venus,273.46,Sun,93.46,Saturn,296.79,Mars,11.24,Ketu
6/5/2000,112.08,Mercury,23.56,Venus,274.51,Sun,37.86,Sun,18.74,Venus,50.96,Moon,282.7,Moon,94.51,Saturn,25.98,Venus,22.17,Venus,273.33,Sun,93.33,Jupiter,296.81,Mars,12.48,Ketu
7/5/2000,112.92,Mercury,23.79,Venus,274.46,Sun,38.56,Sun,20.88,Venus,65.69,Mars,282.7,Moon,94.46,Saturn,26.11,Venus,23.14,Venus,273.24,Sun,93.24,Jupiter,296.82,Mars,13.71,Venus
8/5/2000,113.76,Mercury,24.03,Venus,274.41,Sun,39.26,Sun,23.04,Venus,80.27,Jupiter,282.7,Moon,94.41,Saturn,26.24,Venus,24.1,Venus,273.2,Sun,93.2,Jupiter,296.84,Mars,14.94,Venus
9/5/2000,114.6,Mercury,24.27,Venus,274.35,Sun,39.96,Sun,25.2,Venus,94.64,Saturn,282.7,Moon,94.35,Saturn,26.37,Venus,25.07,Venus,273.19,Sun,93.19,Jupiter,296.85,Mars,16.17,Venus
10/5/2000,115.45,Mercury,24.51,Venus,274.3,Sun,40.66,Moon,27.38,Sun,108.75,Mercury,282.7,Moon,94.3,Saturn,26.5,Venus,26.04,Venus,273.2,Sun,93.2,Jupiter,296.86,Mars,17.4,Venus
11/5/2000,116.29,Mercury,24.75,Venus,274.25,Sun,41.35,Moon,29.56,Sun,122.6,Ketu,282.7,Moon,94.25,Saturn,26.63,Venus,27.0,Sun,273.2,Sun,93.2,Jupiter,296.87,Mars,18.63,Venus
12/5/2000,117.13,Mercury,24.98,Venus,274.19,Sun,42.05,Moon,31.74,Sun,136.2,Venus,282.7,Moon,94.19,Saturn,26.76,Sun,27.97,Sun,273.18,Sun,93.18,Jupiter,296.89,Mars,19.86,Venus
13/5/2000,117.98,Mercury,25.22,Venus,274.14,Sun,42.74,Moon,33.91,Sun,149.56,Sun,282.7,Moon,94.14,Saturn,26.89,Sun,28.93,Sun,273.12,Sun,93.12,Jupiter,296.9,Mars,21.09,Venus
14/5/2000,118.82,Mercury,25.46,Venus,274.09,Sun,43.44,Moon,36.07,Sun,162.7,Moon,282.7,Moon,94.09,Saturn,27.01,Sun,29.9,Sun,273.02,Sun,93.02,Jupiter,296.91,Mars,22.32,Venus
15/5/2000,119.67,Mercury,25.7,Venus,274.03,Sun,44.13,Moon,38.22,Sun,175.63,Mars,282.69,Moon,94.03,Saturn,27.14,Sun,30.86,Sun,272.88,Sun,92.88,Jupiter,296.91,Mars,23.55,Venus
16/5/2000,120.52,Ketu,25.93,Venus,273.98,Sun,44.83,Moon,40.35,Moon,188.36,Rahu,282.69,Moon,93.98,Saturn,27.27,Sun,31.83,Sun,272.71,Sun,92.71,Jupiter,296.92,Mars,24.77,Venus
17/5/2000,121.37,Ketu,26.17,Venus,273.93,Sun,45.52,Moon,42.45,Moon,200.9,Jupiter,282.68,Moon,93.93,Saturn,27.4,Sun,32.79,Sun,272.52,Sun,92.52,Jupiter,296.93,Mars,26.0,Venus
18/5/2000,122.21,Ketu,26.41,Venus,273.88,Sun,46.21,Moon,44.53,Moon,213.25,Jupiter,282.68,Moon,93.88,Saturn,27.53,Sun,33.75,Sun,272.35,Sun,92.35,Jupiter,296.93,Mars,27.23,Sun
19/5/2000,123.06,Ketu,26.64,Venus,273.82,Sun,46.9,Moon,46.57,Moon,225.42,Saturn,282.67,Moon,93.82,Saturn,27.66,Sun,34.71,Sun,272.19,Sun,92.19,Jupiter,296.94,Mars,28.46,Sun
20/5/2000,123.91,Ketu,26.88,Sun,273.77,Sun,47.59,Moon,48.58,Moon,237.44,Mercury,282.67,Moon,93.77,Saturn,27.78,Sun,35.68,Sun,272.07,Sun,92.07,Jupiter,296.94,Mars,29.69,Sun
21/5/2000,124.77,Ketu,27.12,Sun,273.72,Sun,48.28,Moon,50.55,Moon,249.33,Ketu,282.66,Moon,93.72,Saturn,27.91,Sun,36.64,Sun,271.98,Sun,91.98,Jupiter,296.95,Mars,30.92,Sun
22/5/2000,125.62,Ketu,27.35,Sun,273.66,Sun,48.97,Moon,52.48,Moon,261.15,Venus,282.65,Moon,93.66,Saturn,28.04,Sun,37.6,Sun,271.94,Sun,91.94,Jupiter,296.95,Mars,32.15,Sun
23/5/2000,126.47,Ketu,27.59,Sun,273.61,Sun,49.66,Moon,54.37,Mars,272.93,Sun,282.65,Moon,93.61,Saturn,28.17,Sun,38.56,Sun,271.93,Sun,91.93,Jupiter,296.95,Mars,33.38,Sun
24/5/2000,127.32,Ketu,27.82,Sun,273.56,Sun,50.34,Moon,56.21,Mars,284.76,Moon,282.64,Moon,93.56,Saturn,28.3,Sun,39.52,Sun,271.94,Sun,91.94,Jupiter,296.95,Mars,34.61,Sun
