Date,Avg Humidity,Dew point (celcius),Max Humidity,Max Temp,Max Wind Spd (Km/h),Mean Temp,Min Humidity,Min Temp,Sea pres (hPa),Wind Spd (Km/h)
1/5/2000,,,,,,,,,,
2/5/2000,,,,,,,,,,
3/5/2000,,,,,,,,,,
4/5/2000,62,21,79,34,26,30,44,25,1007.55,13
5/5/2000,69,25,84,35,30,31,53,27,1006.74,12
6/5/2000,72,25,89,36,18,32,47,27,1007.93,5
7/5/2000,63,23,84,36,26,32,39,27,1008.41,5
8/5/2000,79,25,89,34,28,31,56,28,1007.88,8
9/5/2000,74,26,94,34,22,30,59,27,1007.67,8
10/5/2000,68,25,89,37,26,32,47,28,1007.29,12
11/5/2000,77,25,89,37,26,32,47,28,1005.62,6
12/5/2000,72,25,89,34,28,31,59,28,1005.18,10
13/5/2000,54,23,74,42,28,36,28,29,1005.00,9
14/5/2000,51,23,89,42,24,36,25,29,1004.00,13
15/5/2000,54,23,89,42,39,35,26,28,1004.23,12
16/5/2000,45,21,74,41,28,35,26,29,1005.00,14
17/5/2000,71,24,94,37,22,32,44,26,1006.06,14
18/5/2000,52,21,79,38,41,34,31,29,1004.92,13
19/5/2000,64,23,84,41,26,34,28,28,1005.00,5
20/5/2000,56,21,74,38,30,33,31,28,1005.18,13
21/5/2000,55,22,79,40,30,34,27,29,1003.30,15
22/5/2000,56,22,79,40,30,34,27,28,1003.79,17
23/5/2000,62,24,79,37,26,33,37,29,1004.29,11
24/5/2000,60,24,79,50,22,40,25,29,1005.11,12
25/5/2000,64,23,79,36,18,31,41,26,1004.94,13
26/5/2000,58,24,84,38,33,34,42,29,1003.40,22
27/5/2000,60,24,79,36,28,32,44,29,1004.64,17
28/5/2000,68,24,84,34,26,31,46,28,1005.60,19
29/5/2000,61,24,89,38,26,32,37,27,1005.33,10
30/5/2000,57,23,79,39,37,34,29,29,1005.19,16
31/5/2000,68,24,79,33,28,31,49,29,1004.69,17
1/6/2000,74,23,74,28,0,28,74,28,1003.00,0
2/6/2000,,,,,,,,,,
3/6/2000,,,,,,,,,,
4/6/2000,,,,,,,,,,
5/6/2000,,,,,,,,,,
6/6/2000,,,,,,,,,,
7/6/2000,,,,,,,,,,
8/6/2000,,,,,,,,,,
9/6/2000,,,,,,,,,,
10/6/2000,52,22,52,33,18,33,52,33,1007.00,12
11/6/2000,63,23,74,35,22,32,47,29,1006.29,11
12/6/2000,69,23,84,34,22,31,41,28,1006.50,10
13/6/2000,77,24,89,30,15,28,66,27,1007.40,6
14/6/2000,57,22,79,38,18,33,35,28,1006.09,6
15/6/2000,58,22,70,38,22,34,33,29,1005.79,16
16/6/2000,61,22,79,38,26,33,31,28,1004.88,13
17/6/2000,53,21,74,38,28,33,33,28,1003.64,14
18/6/2000,53,21,84,37,28,32,35,28,1002.67,14
19/6/2000,74,24,89,34,22,30,49,26,1003.00,6
20/6/2000,75,23,94,36,18,30,41,25,1002.71,6
21/6/2000,77,24,94,32,15,29,59,26,1004.28,4
22/6/2000,75,23,94,33,18,29,52,25,1005.33,6
23/6/2000,81,24,94,30,11,28,70,25,1006.00,3
24/6/2000,75,23,84,31,22,29,55,27,1005.83,3
25/6/2000,53,21,79,36,24,32,37,28,1004.16,9
26/6/2000,58,22,84,37,18,32,35,28,1004.92,11
27/6/2000,62,23,79,35,28,32,44,28,1004.67,11
28/6/2000,71,23,89,32,22,30,55,26,1004.86,14
29/6/2000,74,22,94,30,18,27,58,24,1003.00,4
30/6/2000,59,22,84,34,28,30,46,27,1002.00,11
1/7/2000,67,23,79,34,26,30,49,27,1003.80,6
2/7/2000,71,24,89,33,22,30,55,27,1003.29,6
3/7/2000,87,24,100,28,13,26,79,24,1003.67,2
4/7/2000,86,23,89,27,22,26,79,25,1002.00,8
5/7/2000,73,23,89,32,26,29,58,26,1002.20,10
6/7/2000,72,23,84,31,22,28,62,26,1002.44,16
7/7/2000,75,23,89,33,20,30,55,26,1002.77,7
8/7/2000,62,23,84,35,28,31,46,27,1002.64,16
9/7/2000,65,23,84,36,28,32,47,27,1003.38,14
10/7/2000,63,23,100,36,37,30,47,24,1003.33,19
11/7/2000,68,22,79,30,22,28,58,26,1002.86,11
12/7/2000,62,22,83,36,28,30,43,25,1002.81,14
13/7/2000,56,21,62,33,28,31,49,29,1003.73,17
14/7/2000,60,22,74,34,28,30,44,27,1004.68,10
15/7/2000,62,22,79,35,26,31,44,27,1005.21,13
16/7/2000,51,21,83,36,28,31,41,26,1003.00,16
17/7/2000,61,23,89,35,32,31,44,27,1004.27,14
18/7/2000,71,24,89,36,33,32,47,27,1004.42,9
19/7/2000,69,23,79,35,33,31,49,27,1003.93,16
20/7/2000,70,23,89,34,28,30,52,26,1004.60,12
21/7/2000,80,24,94,31,22,28,62,26,1006.84,12
