Date,Average Humidity,Dew point (celcius),Max Temperature,Max Wind Speed (Km/h),Maximum Humidity,Mean Temperature,Min Temperature,Minimum Humidity,Sea Pressure (hPa),Visibility (Kms),Wind Speed (Km/h)
1/1/2018,76,22,30,178,94,26,22,41,1009.55,5.1,9
2/1/2018,79,22,30,18,100,26,21,53,1009.62,4.9,6
3/1/2018,77,22,30,22,100,26,22,43,1011.38,5.4,7
4/1/2018,57,18,30,22,89,27,24,36,1012.50,5.0,10
5/1/2018,60,16,29,22,94,24,18,25,1011.85,4.6,7
6/1/2018,62,16,29,18,88,24,18,35,1011.48,4.3,6
7/1/2018,61,16,29,22,83,24,18,26,1012.29,4.8,6
8/1/2018,68,18,29,26,88,23,17,41,1012.87,4.6,6
9/1/2018,73,21,28,20,89,25,22,54,1014.04,4.5,9
10/1/2018,88,23,26,11,100,24,22,75,1014.89,3.5,5
